variable,pct_valid,label,,group,source_type,,
TT4G06D,97.3,Background/ First teaching  qualification/ Good balance between theoretical and practical aspects of teaching,,Background / First teaching  qualification / Good balance between theoretical and practical aspects of teaching,teacher questionnaire item,,
TT4G06C,97.2,Background/ First teaching  qualification/ Included enough time for classroom observations,,Background / First teaching  qualification / Included enough time for classroom observations,teacher questionnaire item,,
TT4G06F,97.1,Background/ First teaching  qualification/ Overall high quality,,Background / First teaching  qualification / Overall high quality,teacher questionnaire item,,
TT4G06E,97.4,Background/ First teaching  qualification/ Provided me with enough practical opportunities,,Background / First teaching  qualification / Provided me with enough practical opportunities,teacher questionnaire item,,
TT4G06B,97.3,Background/ First teaching  qualification/ Provided me with ideas for managing classroom behaviour,,Background / First teaching  qualification / Provided me with ideas for managing classroom behaviour,teacher questionnaire item,,
TT4G04,96,Background/ First teaching qualification,,Background / First teaching qualification,teacher questionnaire item,,
TT4G06A,97.3,Background/ First teaching qualification/ Provided me with a strong understanding of the subject(s),,Background / First teaching qualification / Provided me with a strong understanding of the subject(s),teacher questionnaire item,,
TT4G07D,97.3,Background/ Prepared for teaching/ Classroom practice in some or all subject(s) I teach,add,Background / Prepared for teaching / Classroom practice in some or all subject(s) I teach,teacher questionnaire item,,
TT4G07A,97.6,Background/ Prepared for teaching/ Content of some or all subject(s) I teach,add,Background / Prepared for teaching / Content of some or all subject(s) I teach,teacher questionnaire item,,
TT4G07C,97.4,Background/ Prepared for teaching/ General pedagogy,add,Background / Prepared for teaching / General pedagogy,teacher questionnaire item,,
TT4G07B,97.5,Background/ Prepared for teaching/ Pedagogy of some or all subject(s) I teach,add,Background / Prepared for teaching / Pedagogy of some or all subject(s) I teach,teacher questionnaire item,,
TT4G07G,97.5,Background/ Prepared for teaching/ Supporting students' development,add,Background / Prepared for teaching / Supporting students' development,teacher questionnaire item,,
TT4G07E,97.4,Background/ Prepared for teaching/ Teaching in a multicultural or multilingual setting,add,Background / Prepared for teaching / Teaching in a multicultural or multilingual setting,teacher questionnaire item,,
TT4G07F,97.5,Background/ Prepared for teaching/ Use of <digital resources and tools> for teaching,add,Background / Prepared for teaching / Use of <digital resources and tools> for teaching,teacher questionnaire item,,
TT4G08,99.7,Background/ Teaching as the first choice as a career,,Background / Teaching as the first choice as a career,teacher questionnaire item,,
T4PDBR,99.3,Barriers to professional development: lack of support in access,add,Barriers to professional development: lack of support in access,derived scale/index,,
T4CHFAT,98.4,Change fatigue,add,Change fatigue,derived scale/index,,
TT4G10,96.1,Current Work/ Currently working as a teacher of <ISCED 2011 level x> at another school,add,Current Work / Currently working as a teacher of <ISCED 2011 level x> at another school,teacher questionnaire item,,
TT4G09,98.9,Current Work/ Employment status (in terms of tenure) as a teacher at this school,,Current Work / Employment status (in terms of tenure) as a teacher at this school,teacher questionnaire item,,
TT4G16H,98.4,Current Work/ Hours spent on tasks during most recent complete calendar week/ Communication and co-operation with parents,,Current Work / Hours spent on tasks during most recent complete calendar week / Communication and co-operation with parents,teacher questionnaire item,,
TT4G16D,96.7,Current Work/ Hours spent on tasks during most recent complete calendar week/ Counselling students,add,Current Work / Hours spent on tasks during most recent complete calendar week / Counselling students,teacher questionnaire item,,
TT4G16I,96.9,Current Work/ Hours spent on tasks during most recent complete calendar week/ Engaging in extracurricular activities,add,Current Work / Hours spent on tasks during most recent complete calendar week / Engaging in extracurricular activities,teacher questionnaire item,,
TT4G16F,96.4,Current Work/ Hours spent on tasks during most recent complete calendar week/ General administrative work,add,Current Work / Hours spent on tasks during most recent complete calendar week / General administrative work,teacher questionnaire item,,
TT4G16J,97,Current Work/ Hours spent on tasks during most recent complete calendar week/ Other work tasks,,Current Work / Hours spent on tasks during most recent complete calendar week / Other work tasks,teacher questionnaire item,,
TT4G16E,97.9,Current Work/ Hours spent on tasks during most recent complete calendar week/ Participation in school management,add,Current Work / Hours spent on tasks during most recent complete calendar week / Participation in school management,teacher questionnaire item,,
TT4G16G,96.3,Current Work/ Hours spent on tasks during most recent complete calendar week/ Professional learning activities,add,Current Work / Hours spent on tasks during most recent complete calendar week / Professional learning activities,teacher questionnaire item,,
TT4G16B,95.3,Current Work/ Hours spent on tasks during most recent complete calendar week/ Team work and dialogue with colleagues within school,add,Current Work / Hours spent on tasks during most recent complete calendar week / Team work and dialogue with colleagues within school,teacher questionnaire item,,
TT4G15,94.3,Current Work/ Hours spent on teaching at this school during most recent complete calendar week,add,Current Work / Hours spent on teaching at this school during most recent complete calendar week,teacher questionnaire item,,
TT4G14,96.4,Current Work/ Total hours spent on tasks related to job at this school during most recent complete calendar week,,Current Work / Total hours spent on tasks related to job at this school during most recent complete calendar week,teacher questionnaire item,,
T4EXINF,99.7,Exchange of information and ideas among teachers,add,Exchange of information and ideas among teachers,derived scale/index,,
T4FULFIL,97.8,Fulfilment of lesson aims (complexity of teaching),,Fulfilment of lesson aims (complexity of teaching),derived scale/index,,
T4INSTLE,98.8,Instructional leadership,,Instructional leadership,derived scale/index,,
T4JSPROT,98.5,Job satisfaction with profession,,Job satisfaction with profession,derived scale/index,,
T4JSENVT,98.3,Job satisfaction with work environment,,Job satisfaction with work environment,derived scale/index,,
T4JOBSAT,98.3,"Job satisfaction, overall",add,"Job satisfaction, overall",derived scale/index,,
T4JOYTCH,98.5,Joy of teaching,add,Joy of teaching,derived scale/index,,
T4TNSCH,98.7,Number of schools teacher works at,add,Number of schools teacher works at,derived scale/index,,
TT4G75B,97.9,Occupational Perceptions/ Attrition factors/ A job outside of education,,Occupational Perceptions / Attrition factors / A job outside of education,teacher questionnaire item,,
TT4G75A,98,Occupational Perceptions/ Attrition factors/ A non-teaching position within education,,Occupational Perceptions / Attrition factors / A non-teaching position within education,teacher questionnaire item,,
TT4G75C,97.7,Occupational Perceptions/ Attrition factors/ Further education or training,,Occupational Perceptions / Attrition factors / Further education or training,teacher questionnaire item,,
TT4G75D,97.9,Occupational Perceptions/ Attrition factors/ Personal or family reasons,,Occupational Perceptions / Attrition factors / Personal or family reasons,teacher questionnaire item,,
TT4G75E,97.8,Occupational Perceptions/ Attrition factors/ Retirement from work sector,,Occupational Perceptions / Attrition factors / Retirement from work sector,teacher questionnaire item,,
TT4G80C,98.2,Occupational Perceptions/ Enjoyment of teaching/ I generally teach with enthusiasm,,Occupational Perceptions / Enjoyment of teaching / I generally teach with enthusiasm,teacher questionnaire item,,
TT4G80A,98.4,Occupational Perceptions/ Enjoyment of teaching/ I like the subject(s) that I teach,,Occupational Perceptions / Enjoyment of teaching / I like the subject(s) that I teach,teacher questionnaire item,,
TT4G80B,98.2,Occupational Perceptions/ Enjoyment of teaching/ I often feel happy while I teach,,Occupational Perceptions / Enjoyment of teaching / I often feel happy while I teach,teacher questionnaire item,,
TT4G80D,97.8,Occupational Perceptions/ Enjoyment of teaching/ The interesting challenges of teaching give me satisfaction,,Occupational Perceptions / Enjoyment of teaching / The interesting challenges of teaching give me satisfaction,teacher questionnaire item,,
TT4G76A,98.5,Occupational Perceptions/ Experiences as a teacher at this school/ I experience stress in my work,,Occupational Perceptions / Experiences as a teacher at this school / I experience stress in my work,teacher questionnaire item,,
TT4G76B,96.8,Occupational Perceptions/ Experiences as a teacher at this school/ My job leaves me time for my personal life,,Occupational Perceptions / Experiences as a teacher at this school / My job leaves me time for my personal life,teacher questionnaire item,,
TT4G76C,98.4,Occupational Perceptions/ Experiences as a teacher at this school/ My job negatively impacts my mental health,,Occupational Perceptions / Experiences as a teacher at this school / My job negatively impacts my mental health,teacher questionnaire item,,
TT4G76D,98.2,Occupational Perceptions/ Experiences as a teacher at this school/ My job negatively impacts my physical health,,Occupational Perceptions / Experiences as a teacher at this school / My job negatively impacts my physical health,teacher questionnaire item,,
TT4G73H,98.2,Occupational Perceptions/ Importance of factors/ I like working with children/adolescents,,Occupational Perceptions / Importance of factors / I like working with children,teacher questionnaire item,,
TT4G73I,97.8,Occupational Perceptions/ Importance of factors/ Teaching allows me to exercise autonomy,,Occupational Perceptions / Importance of factors / Teaching allows me to exercise autonomy,teacher questionnaire item,,
TT4G73E,98.2,Occupational Perceptions/ Importance of factors/ Teaching allows me to influence the next generation,,Occupational Perceptions / Importance of factors / Teaching allows me to influence the next generation,teacher questionnaire item,,
TT4G73F,98.2,Occupational Perceptions/ Importance of factors/ Teaching allows me to work against social disadvantage,,Occupational Perceptions / Importance of factors / Teaching allows me to work against social disadvantage,teacher questionnaire item,,
TT4G73D,98.2,Occupational Perceptions/ Importance of factors/ Teaching has commitment flexibility,,Occupational Perceptions / Importance of factors / Teaching has commitment flexibility,teacher questionnaire item,,
TT4G73B,98.3,Occupational Perceptions/ Importance of factors/ Teaching is a secure job,,Occupational Perceptions / Importance of factors / Teaching is a secure job,teacher questionnaire item,,
TT4G73G,98.2,Occupational Perceptions/ Importance of factors/ Teaching makes a worthwhile social contribution,,Occupational Perceptions / Importance of factors / Teaching makes a worthwhile social contribution,teacher questionnaire item,,
TT4G73A,98.4,Occupational Perceptions/ Importance of factors/ Teaching suits my abilities,,Occupational Perceptions / Importance of factors / Teaching suits my abilities,teacher questionnaire item,,
TT4G73C,98.2,Occupational Perceptions/ Importance of factors/ Working hours fit with my family responsibilities,,Occupational Perceptions / Importance of factors / Working hours fit with my family responsibilities,teacher questionnaire item,,
TT4G78J,97.9,"Occupational Perceptions/ Job satisfaction/ All in all, I am satisfied with my job",,"Occupational Perceptions / Job satisfaction / All in all, I am satisfied with my job",teacher questionnaire item,,
TT4G78I,98.1,Occupational Perceptions/ Job satisfaction/ I am satisfied with my performance in this school,,Occupational Perceptions / Job satisfaction / I am satisfied with my performance in this school,teacher questionnaire item,,
TT4G78E,98,Occupational Perceptions/ Job satisfaction/ I enjoy working at this school,,Occupational Perceptions / Job satisfaction / I enjoy working at this school,teacher questionnaire item,,
TT4G78D,98.1,Occupational Perceptions/ Job satisfaction/ I regret that I decided to become a teacher,,Occupational Perceptions / Job satisfaction / I regret that I decided to become a teacher,teacher questionnaire item,,
TT4G78H,98.2,Occupational Perceptions/ Job satisfaction/ I think that the teaching profession is valued in society,,Occupational Perceptions / Job satisfaction / I think that the teaching profession is valued in society,teacher questionnaire item,,
TT4G78F,97.7,Occupational Perceptions/ Job satisfaction/ I wonder whether it would be better to choose another profession,,Occupational Perceptions / Job satisfaction / I wonder whether it would be better to choose another profession,teacher questionnaire item,,
TT4G78C,98.1,Occupational Perceptions/ Job satisfaction/ I would like to change to another school if that were possible,,Occupational Perceptions / Job satisfaction / I would like to change to another school if that were possible,teacher questionnaire item,,
TT4G78G,97.9,Occupational Perceptions/ Job satisfaction/ I would recommend my school as a good place to work,,Occupational Perceptions / Job satisfaction / I would recommend my school as a good place to work,teacher questionnaire item,,
TT4G78B,98.1,"Occupational Perceptions/ Job satisfaction/ If I could decide again, I would still choose to work as a teacher",,"Occupational Perceptions / Job satisfaction / If I could decide again, I would still choose to work as a teacher",teacher questionnaire item,,
TT4G78A,98.2,Occupational Perceptions/ Job satisfaction/ The advantages clearly outweigh the disadvantages,,Occupational Perceptions / Job satisfaction / The advantages clearly outweigh the disadvantages,teacher questionnaire item,,
TT4G74,93.2,Occupational Perceptions/ Number of years want to continue to work as a teacher,,Occupational Perceptions / Number of years want to continue to work as a teacher,teacher questionnaire item,,
TT4G79B,98.1,"Occupational Perceptions/ Perceptions of teachers' value/ Apart from salary, I am satisfied with <contract/employment>",,"Occupational Perceptions / Perceptions of teachers' value / Apart from salary, I am satisfied with <contract",teacher questionnaire item,,
TT4G79A,98.3,Occupational Perceptions/ Perceptions of teachers' value/ I am satisfied with the salary I receive for my work,add,Occupational Perceptions / Perceptions of teachers' value / I am satisfied with the salary I receive for my work,teacher questionnaire item,,
TT4G79D,97.9,Occupational Perceptions/ Perceptions of teachers' value/ Teachers are valued by parents/guardians,,Occupational Perceptions / Perceptions of teachers' value / Teachers are valued by parents,teacher questionnaire item,,
TT4G79C,98,Occupational Perceptions/ Perceptions of teachers' value/ Teachers are valued by students in this school,,Occupational Perceptions / Perceptions of teachers' value / Teachers are valued by students in this school,teacher questionnaire item,,
TT4G79G,97.8,Occupational Perceptions/ Perceptions of teachers' value/ Teachers are valued in the media,,Occupational Perceptions / Perceptions of teachers' value / Teachers are valued in the media,teacher questionnaire item,,
TT4G79F,97.9,Occupational Perceptions/ Perceptions of teachers' value/ Teachers can influence educational policy,,Occupational Perceptions / Perceptions of teachers' value / Teachers can influence educational policy,teacher questionnaire item,,
TT4G79E,97.9,Occupational Perceptions/ Perceptions of teachers' value/ Teachers’ views are valued by policymakers,,Occupational Perceptions / Perceptions of teachers' value / Teachers’ views are valued by policymakers,teacher questionnaire item,,
TT4G77J,98,Occupational Perceptions/ Sources of stress in work/ Addressing parent or guardian concerns,,Occupational Perceptions / Sources of stress in work / Addressing parent or guardian concerns,teacher questionnaire item,,
TT4G77F,98.1,Occupational Perceptions/ Sources of stress in work/ Being held responsible for students’ achievement,,Occupational Perceptions / Sources of stress in work / Being held responsible for students’ achievement,teacher questionnaire item,,
TT4G77L,97.9,Occupational Perceptions/ Sources of stress in work/ Being held responsible for students’ well-being,,Occupational Perceptions / Sources of stress in work / Being held responsible for students’ well-being,teacher questionnaire item,,
TT4G77H,98,Occupational Perceptions/ Sources of stress in work/ Being intimidated or verbally abused by students,,Occupational Perceptions / Sources of stress in work / Being intimidated or verbally abused by students,teacher questionnaire item,,
TT4G77E,98.1,Occupational Perceptions/ Sources of stress in work/ Having extra duties due to absent teachers,,Occupational Perceptions / Sources of stress in work / Having extra duties due to absent teachers,teacher questionnaire item,,
TT4G77O,97.9,Occupational Perceptions/ Sources of stress in work/ Having to adapt my work due to unexpected disruptions,,Occupational Perceptions / Sources of stress in work / Having to adapt my work due to unexpected disruptions,teacher questionnaire item,,
TT4G77B,98.1,Occupational Perceptions/ Sources of stress in work/ Having too many lessons to teach,,Occupational Perceptions / Sources of stress in work / Having too many lessons to teach,teacher questionnaire item,,
TT4G77D,98.1,Occupational Perceptions/ Sources of stress in work/ Having too much administrative work to do,,Occupational Perceptions / Sources of stress in work / Having too much administrative work to do,teacher questionnaire item,,
TT4G77A,98.3,Occupational Perceptions/ Sources of stress in work/ Having too much lesson preparation,,Occupational Perceptions / Sources of stress in work / Having too much lesson preparation,teacher questionnaire item,,
TT4G77C,98.1,Occupational Perceptions/ Sources of stress in work/ Having too much marking,,Occupational Perceptions / Sources of stress in work / Having too much marking,teacher questionnaire item,,
TT4G77N,97.8,Occupational Perceptions/ Sources of stress in work/ Having too much work on diversity and equity issues,,Occupational Perceptions / Sources of stress in work / Having too much work on diversity and equity issues,teacher questionnaire item,,
TT4G77I,97.9,Occupational Perceptions/ Sources of stress in work/ Keeping up with changing requirements from authorities,,Occupational Perceptions / Sources of stress in work / Keeping up with changing requirements from authorities,teacher questionnaire item,,
TT4G77M,97.8,Occupational Perceptions/ Sources of stress in work/ Keeping up with curriculum or programme changes in this school,,Occupational Perceptions / Sources of stress in work / Keeping up with curriculum or programme changes in this school,teacher questionnaire item,,
TT4G77P,97.7,Occupational Perceptions/ Sources of stress in work/ Keeping up with professional learning,,Occupational Perceptions / Sources of stress in work / Keeping up with professional learning,teacher questionnaire item,,
TT4G77G,98,Occupational Perceptions/ Sources of stress in work/ Maintaining classroom discipline,,Occupational Perceptions / Sources of stress in work / Maintaining classroom discipline,teacher questionnaire item,,
TT4G77K,97.9,Occupational Perceptions/ Sources of stress in work/ Modifying lessons for students with special education needs,,Occupational Perceptions / Sources of stress in work / Modifying lessons for students with special education needs,teacher questionnaire item,,
T4OPPART,98.9,Opportunities to participate in school decisions,add,Opportunities to participate in school decisions,derived scale/index,,
T4VALP,98.1,Perceptions of value and policy influence,,Perceptions of value and policy influence,derived scale/index,,
T4MOPU,98.5,Personal utility motivations to teach,,Personal utility motivations to teach,derived scale/index,,
TT4G25A,99.1,Professional Learning/ Barriers to PL/ I do not have the pre-requisites,,Professional Learning / Barriers to PL / I do not have the pre-requisites,teacher questionnaire item,,
TT4G25E,99.1,Professional Learning/ Barriers to PL/ I do not have time because responsibilities or commitments,,Professional Learning / Barriers to PL / I do not have time because responsibilities or commitments,teacher questionnaire item,,
TT4G25D,99,Professional Learning/ Barriers to PL/ Professional learning conflicts with my work schedule,,Professional Learning / Barriers to PL / Professional learning conflicts with my work schedule,teacher questionnaire item,,
TT4G25I,98.7,Professional Learning/ Barriers to PL/ Professional learning is not accessible due to digital resources,,Professional Learning / Barriers to PL / Professional learning is not accessible due to digital resources,teacher questionnaire item,,
TT4G25H,98.9,Professional Learning/ Barriers to PL/ Professional learning is not accessible due to distance,,Professional Learning / Barriers to PL / Professional learning is not accessible due to distance,teacher questionnaire item,,
TT4G25B,99,Professional Learning/ Barriers to PL/ Professional learning is too expensive,,Professional Learning / Barriers to PL / Professional learning is too expensive,teacher questionnaire item,,
TT4G25G,98.9,Professional Learning/ Barriers to PL/ There are no incentives for participating in professional learning,,Professional Learning / Barriers to PL / There are no incentives for participating in professional learning,teacher questionnaire item,,
TT4G25C,98.9,Professional Learning/ Barriers to PL/ There is a lack of employer support,,Professional Learning / Barriers to PL / There is a lack of employer support,teacher questionnaire item,,
