variable,pct_valid,label,,group,source_type,,
TT4G65C,98.9,School Climate/ Teacher-student relations/ Most teachers are interested in what students have to say,,School Climate / Teacher-student relations / Most teachers are interested in what students have to say,teacher questionnaire item,,
TT4G65B,98.9,School Climate/ Teacher-student relations/ Most teachers believe that the students’ well-being is important,,School Climate / Teacher-student relations / Most teachers believe that the students’ well-being is important,teacher questionnaire item,,
TT4G65A,99.1,School Climate/ Teacher-student relations/ Teachers and students usually get on well with each other,,School Climate / Teacher-student relations / Teachers and students usually get on well with each other,teacher questionnaire item,,
T4CLIBUL,98.7,School climate regarding bullying,,School climate regarding bullying,derived scale/index,,
T4SECLS,99.8,Self-efficacy in classroom management,add,Self-efficacy in classroom management,derived scale/index,,
T4SEINS,99.8,Self-efficacy in instruction,add,Self-efficacy in instruction,derived scale/index,,
T4SEENG,99.8,Self-efficacy in student engagement,add,Self-efficacy in student engagement,derived scale/index,,
T4SELF,99.7,"Self-efficacy, overall",add,"Self-efficacy, overall",derived scale/index,,
T4MOSU,98.5,Social utility motivations to teach,,Social utility motivations to teach,derived scale/index,,
T4STBEH,98.4,Student behaviour stress,add,Student behaviour stress,derived scale/index,,how to handle missing data here.
TRWGT1,100,Teacher BRR-Fay Replicate Weight 1,,Teacher BRR-Fay Replicate Weight 1,replicate weight,,
TRWGT10,100,Teacher BRR-Fay Replicate Weight 10,,Teacher BRR-Fay Replicate Weight 10,replicate weight,,
TRWGT100,100,Teacher BRR-Fay Replicate Weight 100,,Teacher BRR-Fay Replicate Weight 100,replicate weight,,
TRWGT11,100,Teacher BRR-Fay Replicate Weight 11,,Teacher BRR-Fay Replicate Weight 11,replicate weight,,
TRWGT12,100,Teacher BRR-Fay Replicate Weight 12,,Teacher BRR-Fay Replicate Weight 12,replicate weight,,
TRWGT13,100,Teacher BRR-Fay Replicate Weight 13,,Teacher BRR-Fay Replicate Weight 13,replicate weight,,
TRWGT14,100,Teacher BRR-Fay Replicate Weight 14,,Teacher BRR-Fay Replicate Weight 14,replicate weight,,
TRWGT15,100,Teacher BRR-Fay Replicate Weight 15,,Teacher BRR-Fay Replicate Weight 15,replicate weight,,
TRWGT16,100,Teacher BRR-Fay Replicate Weight 16,,Teacher BRR-Fay Replicate Weight 16,replicate weight,,
TRWGT17,100,Teacher BRR-Fay Replicate Weight 17,,Teacher BRR-Fay Replicate Weight 17,replicate weight,,
TRWGT18,100,Teacher BRR-Fay Replicate Weight 18,,Teacher BRR-Fay Replicate Weight 18,replicate weight,,
TRWGT19,100,Teacher BRR-Fay Replicate Weight 19,,Teacher BRR-Fay Replicate Weight 19,replicate weight,,
TRWGT2,100,Teacher BRR-Fay Replicate Weight 2,,Teacher BRR-Fay Replicate Weight 2,replicate weight,,
TRWGT20,100,Teacher BRR-Fay Replicate Weight 20,,Teacher BRR-Fay Replicate Weight 20,replicate weight,,
TRWGT21,100,Teacher BRR-Fay Replicate Weight 21,,Teacher BRR-Fay Replicate Weight 21,replicate weight,,
TRWGT22,100,Teacher BRR-Fay Replicate Weight 22,,Teacher BRR-Fay Replicate Weight 22,replicate weight,,
TRWGT23,100,Teacher BRR-Fay Replicate Weight 23,,Teacher BRR-Fay Replicate Weight 23,replicate weight,,
TRWGT24,100,Teacher BRR-Fay Replicate Weight 24,,Teacher BRR-Fay Replicate Weight 24,replicate weight,,
TRWGT25,100,Teacher BRR-Fay Replicate Weight 25,,Teacher BRR-Fay Replicate Weight 25,replicate weight,,
TRWGT26,100,Teacher BRR-Fay Replicate Weight 26,,Teacher BRR-Fay Replicate Weight 26,replicate weight,,
TRWGT27,100,Teacher BRR-Fay Replicate Weight 27,,Teacher BRR-Fay Replicate Weight 27,replicate weight,,
TRWGT28,100,Teacher BRR-Fay Replicate Weight 28,,Teacher BRR-Fay Replicate Weight 28,replicate weight,,
TRWGT29,100,Teacher BRR-Fay Replicate Weight 29,,Teacher BRR-Fay Replicate Weight 29,replicate weight,,
TRWGT3,100,Teacher BRR-Fay Replicate Weight 3,,Teacher BRR-Fay Replicate Weight 3,replicate weight,,
TRWGT30,100,Teacher BRR-Fay Replicate Weight 30,,Teacher BRR-Fay Replicate Weight 30,replicate weight,,
TRWGT31,100,Teacher BRR-Fay Replicate Weight 31,,Teacher BRR-Fay Replicate Weight 31,replicate weight,,
TRWGT32,100,Teacher BRR-Fay Replicate Weight 32,,Teacher BRR-Fay Replicate Weight 32,replicate weight,,
TRWGT33,100,Teacher BRR-Fay Replicate Weight 33,,Teacher BRR-Fay Replicate Weight 33,replicate weight,,
TRWGT34,100,Teacher BRR-Fay Replicate Weight 34,,Teacher BRR-Fay Replicate Weight 34,replicate weight,,
TRWGT35,100,Teacher BRR-Fay Replicate Weight 35,,Teacher BRR-Fay Replicate Weight 35,replicate weight,,
TRWGT36,100,Teacher BRR-Fay Replicate Weight 36,,Teacher BRR-Fay Replicate Weight 36,replicate weight,,
TRWGT37,100,Teacher BRR-Fay Replicate Weight 37,,Teacher BRR-Fay Replicate Weight 37,replicate weight,,
TRWGT38,100,Teacher BRR-Fay Replicate Weight 38,,Teacher BRR-Fay Replicate Weight 38,replicate weight,,
TRWGT39,100,Teacher BRR-Fay Replicate Weight 39,,Teacher BRR-Fay Replicate Weight 39,replicate weight,,
TRWGT4,100,Teacher BRR-Fay Replicate Weight 4,,Teacher BRR-Fay Replicate Weight 4,replicate weight,,
TRWGT40,100,Teacher BRR-Fay Replicate Weight 40,,Teacher BRR-Fay Replicate Weight 40,replicate weight,,
TRWGT41,100,Teacher BRR-Fay Replicate Weight 41,,Teacher BRR-Fay Replicate Weight 41,replicate weight,,
TRWGT42,100,Teacher BRR-Fay Replicate Weight 42,,Teacher BRR-Fay Replicate Weight 42,replicate weight,,
TRWGT43,100,Teacher BRR-Fay Replicate Weight 43,,Teacher BRR-Fay Replicate Weight 43,replicate weight,,
TRWGT44,100,Teacher BRR-Fay Replicate Weight 44,,Teacher BRR-Fay Replicate Weight 44,replicate weight,,
TRWGT45,100,Teacher BRR-Fay Replicate Weight 45,,Teacher BRR-Fay Replicate Weight 45,replicate weight,,
TRWGT46,100,Teacher BRR-Fay Replicate Weight 46,,Teacher BRR-Fay Replicate Weight 46,replicate weight,,
TRWGT47,100,Teacher BRR-Fay Replicate Weight 47,,Teacher BRR-Fay Replicate Weight 47,replicate weight,,
TRWGT48,100,Teacher BRR-Fay Replicate Weight 48,,Teacher BRR-Fay Replicate Weight 48,replicate weight,,
TRWGT49,100,Teacher BRR-Fay Replicate Weight 49,,Teacher BRR-Fay Replicate Weight 49,replicate weight,,
TRWGT5,100,Teacher BRR-Fay Replicate Weight 5,,Teacher BRR-Fay Replicate Weight 5,replicate weight,,
TRWGT50,100,Teacher BRR-Fay Replicate Weight 50,,Teacher BRR-Fay Replicate Weight 50,replicate weight,,
TRWGT51,100,Teacher BRR-Fay Replicate Weight 51,,Teacher BRR-Fay Replicate Weight 51,replicate weight,,
TRWGT52,100,Teacher BRR-Fay Replicate Weight 52,,Teacher BRR-Fay Replicate Weight 52,replicate weight,,
TRWGT53,100,Teacher BRR-Fay Replicate Weight 53,,Teacher BRR-Fay Replicate Weight 53,replicate weight,,
TRWGT54,100,Teacher BRR-Fay Replicate Weight 54,,Teacher BRR-Fay Replicate Weight 54,replicate weight,,
TRWGT55,100,Teacher BRR-Fay Replicate Weight 55,,Teacher BRR-Fay Replicate Weight 55,replicate weight,,
TRWGT56,100,Teacher BRR-Fay Replicate Weight 56,,Teacher BRR-Fay Replicate Weight 56,replicate weight,,
TRWGT57,100,Teacher BRR-Fay Replicate Weight 57,,Teacher BRR-Fay Replicate Weight 57,replicate weight,,
TRWGT58,100,Teacher BRR-Fay Replicate Weight 58,,Teacher BRR-Fay Replicate Weight 58,replicate weight,,
TRWGT59,100,Teacher BRR-Fay Replicate Weight 59,,Teacher BRR-Fay Replicate Weight 59,replicate weight,,
TRWGT6,100,Teacher BRR-Fay Replicate Weight 6,,Teacher BRR-Fay Replicate Weight 6,replicate weight,,
TRWGT60,100,Teacher BRR-Fay Replicate Weight 60,,Teacher BRR-Fay Replicate Weight 60,replicate weight,,
TRWGT61,100,Teacher BRR-Fay Replicate Weight 61,,Teacher BRR-Fay Replicate Weight 61,replicate weight,,
TRWGT62,100,Teacher BRR-Fay Replicate Weight 62,,Teacher BRR-Fay Replicate Weight 62,replicate weight,,
TRWGT63,100,Teacher BRR-Fay Replicate Weight 63,,Teacher BRR-Fay Replicate Weight 63,replicate weight,,
TRWGT64,100,Teacher BRR-Fay Replicate Weight 64,,Teacher BRR-Fay Replicate Weight 64,replicate weight,,
TRWGT65,100,Teacher BRR-Fay Replicate Weight 65,,Teacher BRR-Fay Replicate Weight 65,replicate weight,,
TRWGT66,100,Teacher BRR-Fay Replicate Weight 66,,Teacher BRR-Fay Replicate Weight 66,replicate weight,,
TRWGT67,100,Teacher BRR-Fay Replicate Weight 67,,Teacher BRR-Fay Replicate Weight 67,replicate weight,,
TRWGT68,100,Teacher BRR-Fay Replicate Weight 68,,Teacher BRR-Fay Replicate Weight 68,replicate weight,,
TRWGT69,100,Teacher BRR-Fay Replicate Weight 69,,Teacher BRR-Fay Replicate Weight 69,replicate weight,,
TRWGT7,100,Teacher BRR-Fay Replicate Weight 7,,Teacher BRR-Fay Replicate Weight 7,replicate weight,,
TRWGT70,100,Teacher BRR-Fay Replicate Weight 70,,Teacher BRR-Fay Replicate Weight 70,replicate weight,,
TRWGT71,100,Teacher BRR-Fay Replicate Weight 71,,Teacher BRR-Fay Replicate Weight 71,replicate weight,,
TRWGT72,100,Teacher BRR-Fay Replicate Weight 72,,Teacher BRR-Fay Replicate Weight 72,replicate weight,,
TRWGT73,100,Teacher BRR-Fay Replicate Weight 73,,Teacher BRR-Fay Replicate Weight 73,replicate weight,,
TRWGT74,100,Teacher BRR-Fay Replicate Weight 74,,Teacher BRR-Fay Replicate Weight 74,replicate weight,,
TRWGT75,100,Teacher BRR-Fay Replicate Weight 75,,Teacher BRR-Fay Replicate Weight 75,replicate weight,,
TRWGT76,100,Teacher BRR-Fay Replicate Weight 76,,Teacher BRR-Fay Replicate Weight 76,replicate weight,,
TRWGT77,100,Teacher BRR-Fay Replicate Weight 77,,Teacher BRR-Fay Replicate Weight 77,replicate weight,,
TRWGT78,100,Teacher BRR-Fay Replicate Weight 78,,Teacher BRR-Fay Replicate Weight 78,replicate weight,,
TRWGT79,100,Teacher BRR-Fay Replicate Weight 79,,Teacher BRR-Fay Replicate Weight 79,replicate weight,,
TRWGT8,100,Teacher BRR-Fay Replicate Weight 8,,Teacher BRR-Fay Replicate Weight 8,replicate weight,,
TRWGT80,100,Teacher BRR-Fay Replicate Weight 80,,Teacher BRR-Fay Replicate Weight 80,replicate weight,,
TRWGT81,100,Teacher BRR-Fay Replicate Weight 81,,Teacher BRR-Fay Replicate Weight 81,replicate weight,,
TRWGT82,100,Teacher BRR-Fay Replicate Weight 82,,Teacher BRR-Fay Replicate Weight 82,replicate weight,,
TRWGT83,100,Teacher BRR-Fay Replicate Weight 83,,Teacher BRR-Fay Replicate Weight 83,replicate weight,,
TRWGT84,100,Teacher BRR-Fay Replicate Weight 84,,Teacher BRR-Fay Replicate Weight 84,replicate weight,,
TRWGT85,100,Teacher BRR-Fay Replicate Weight 85,,Teacher BRR-Fay Replicate Weight 85,replicate weight,,
TRWGT86,100,Teacher BRR-Fay Replicate Weight 86,,Teacher BRR-Fay Replicate Weight 86,replicate weight,,
TRWGT87,100,Teacher BRR-Fay Replicate Weight 87,,Teacher BRR-Fay Replicate Weight 87,replicate weight,,
TRWGT88,100,Teacher BRR-Fay Replicate Weight 88,,Teacher BRR-Fay Replicate Weight 88,replicate weight,,
TRWGT89,100,Teacher BRR-Fay Replicate Weight 89,,Teacher BRR-Fay Replicate Weight 89,replicate weight,,
TRWGT9,100,Teacher BRR-Fay Replicate Weight 9,,Teacher BRR-Fay Replicate Weight 9,replicate weight,,
TRWGT90,100,Teacher BRR-Fay Replicate Weight 90,,Teacher BRR-Fay Replicate Weight 90,replicate weight,,
TRWGT91,100,Teacher BRR-Fay Replicate Weight 91,,Teacher BRR-Fay Replicate Weight 91,replicate weight,,
TRWGT92,100,Teacher BRR-Fay Replicate Weight 92,,Teacher BRR-Fay Replicate Weight 92,replicate weight,,
TRWGT93,100,Teacher BRR-Fay Replicate Weight 93,,Teacher BRR-Fay Replicate Weight 93,replicate weight,,
TRWGT94,100,Teacher BRR-Fay Replicate Weight 94,,Teacher BRR-Fay Replicate Weight 94,replicate weight,,
TRWGT95,100,Teacher BRR-Fay Replicate Weight 95,,Teacher BRR-Fay Replicate Weight 95,replicate weight,,
TRWGT96,100,Teacher BRR-Fay Replicate Weight 96,,Teacher BRR-Fay Replicate Weight 96,replicate weight,,
TRWGT97,100,Teacher BRR-Fay Replicate Weight 97,,Teacher BRR-Fay Replicate Weight 97,replicate weight,,
TRWGT98,100,Teacher BRR-Fay Replicate Weight 98,,Teacher BRR-Fay Replicate Weight 98,replicate weight,,
TRWGT99,100,Teacher BRR-Fay Replicate Weight 99,,Teacher BRR-Fay Replicate Weight 99,replicate weight,,
T4TAGEGR,97.9,Teacher age (grouped),add,Teacher age (grouped),derived scale/index,,
T4TLEAD,99,Teacher leadership,add,Teacher leadership,derived scale/index,,
T4TEMPWH,98.7,Teacher's employment status in terms of working hours (grouped),add,Teacher's employment status in terms of working hours (grouped),derived scale/index,,
T4THEDAT,93,Teacher's highest level of formal education completed (grouped),add,Teacher's highest level of formal education completed (grouped),derived scale/index,,
T4TYEXPTS,97.6,Teacher's years of work experience at this school (grouped),,Teacher's years of work experience at this school (grouped),derived scale/index,,
T4TYEXPE,90.8,Teacher's years of work experience in other education roles (grouped),,Teacher's years of work experience in other education roles (grouped),derived scale/index,,
T4TYEXPO,91.9,Teacher's years of work experience in other non-education roles (grouped),,Teacher's years of work experience in other non-education roles (grouped),derived scale/index,,
T4TYEXPTT,96.7,Teacher's years of work experience in total (grouped),,Teacher's years of work experience in total (grouped),derived scale/index,,
T4STUD,99.2,Teacher-student relations,add,Teacher-student relations,derived scale/index,,
TT4G35H,99,Teaching in General/ Beliefs about artificial intelligence in education/ Amplifies biases,,Teaching in General / Beliefs about artificial intelligence in education / Amplifies biases,teacher questionnaire item,,
TT4G35C,99.2,Teaching in General/ Beliefs about artificial intelligence in education/ Assists teachers in supporting students individually,,Teaching in General / Beliefs about artificial intelligence in education / Assists teachers in supporting students individually,teacher questionnaire item,,
TT4G35F,99.1,Teaching in General/ Beliefs about artificial intelligence in education/ Enables students to misrepresent others’ work,,Teaching in General / Beliefs about artificial intelligence in education / Enables students to misrepresent others’ work,teacher questionnaire item,,
TT4G35B,99.3,Teaching in General/ Beliefs about artificial intelligence in education/ Enables teachers to adapt learning material,,Teaching in General / Beliefs about artificial intelligence in education / Enables teachers to adapt learning material,teacher questionnaire item,,
TT4G35E,99.1,Teaching in General/ Beliefs about artificial intelligence in education/ Helps teachers automate administrative tasks,,Teaching in General / Beliefs about artificial intelligence in education / Helps teachers automate administrative tasks,teacher questionnaire item,,
TT4G35A,99.4,Teaching in General/ Beliefs about artificial intelligence in education/ Helps teachers write or improve lesson plans,,Teaching in General / Beliefs about artificial intelligence in education / Helps teachers write or improve lesson plans,teacher questionnaire item,,
TT4G35I,99.1,Teaching in General/ Beliefs about artificial intelligence in education/ Jeopardises the privacy and security of student data,,Teaching in General / Beliefs about artificial intelligence in education / Jeopardises the privacy and security of student data,teacher questionnaire item,,
TT4G35G,99.2,Teaching in General/ Beliefs about artificial intelligence in education/ Makes inappropriate or incorrect recommendations,,Teaching in General / Beliefs about artificial intelligence in education / Makes inappropriate or incorrect recommendations,teacher questionnaire item,,
TT4G35J,98.9,Teaching in General/ Beliefs about artificial intelligence in education/ Suggests unsuitable pedagogical approaches,,Teaching in General / Beliefs about artificial intelligence in education / Suggests unsuitable pedagogical approaches,teacher questionnaire item,,
TT4G35D,99.2,Teaching in General/ Beliefs about artificial intelligence in education/ Supports students with special education needs,,Teaching in General / Beliefs about artificial intelligence in education / Supports students with special education needs,teacher questionnaire item,,
TT4G26C,91.7,Teaching in General/ Engagement in collaborative activities/ Engage in joint activities,,Teaching in General / Engagement in collaborative activities / Engage in joint activities,teacher questionnaire item,,
TT4G26B,93,Teaching in General/ Engagement in collaborative activities/ Observe other teachers’ classes and provide feedback,,Teaching in General / Engagement in collaborative activities / Observe other teachers’ classes and provide feedback,teacher questionnaire item,,
TT4G27I,99.4,Teaching in General/ Self-efficacy in teaching/ Calm a student who is disruptive or noisy,,Teaching in General / Self-efficacy in teaching / Calm a student who is disruptive or noisy,teacher questionnaire item,,
TT4G27D,99.4,Teaching in General/ Self-efficacy in teaching/ Control disruptive behaviour in the classroom,,Teaching in General / Self-efficacy in teaching / Control disruptive behaviour in the classroom,teacher questionnaire item,,
TT4G27C,99.4,Teaching in General/ Self-efficacy in teaching/ Craft good questions for students,,Teaching in General / Self-efficacy in teaching / Craft good questions for students,teacher questionnaire item,,
TT4G27A,99.6,Teaching in General/ Self-efficacy in teaching/ Get students to believe they can do well in school work,,Teaching in General / Self-efficacy in teaching / Get students to believe they can do well in school work,teacher questionnaire item,,
TT4G27H,99.4,Teaching in General/ Self-efficacy in teaching/ Get students to follow classroom rules,,Teaching in General / Self-efficacy in teaching / Get students to follow classroom rules,teacher questionnaire item,,
TT4G27N,99.4,Teaching in General/ Self-efficacy in teaching/ Help every student progress,,Teaching in General / Self-efficacy in teaching / Help every student progress,teacher questionnaire item,,
TT4G27G,99.4,Teaching in General/ Self-efficacy in teaching/ Help students think critically,,Teaching in General / Self-efficacy in teaching / Help students think critically,teacher questionnaire item,,
TT4G27B,99.5,Teaching in General/ Self-efficacy in teaching/ Help students value learning,,Teaching in General / Self-efficacy in teaching / Help students value learning,teacher questionnaire item,,
TT4G27F,99.4,Teaching in General/ Self-efficacy in teaching/ Make my expectations about student behaviour clear,,Teaching in General / Self-efficacy in teaching / Make my expectations about student behaviour clear,teacher questionnaire item,,
TT4G27E,99.4,Teaching in General/ Self-efficacy in teaching/ Motivate students who show low interest in school work,,Teaching in General / Self-efficacy in teaching / Motivate students who show low interest in school work,teacher questionnaire item,,
TT4G27K,99.4,Teaching in General/ Self-efficacy in teaching/ Provide an altern. explanation for example when students are confused,,Teaching in General / Self-efficacy in teaching / Provide an altern. explanation for example when students are confused,teacher questionnaire item,,
TT4G27O,99.2,Teaching in General/ Self-efficacy in teaching/ Reduce achievement gaps among students,,Teaching in General / Self-efficacy in teaching / Reduce achievement gaps among students,teacher questionnaire item,,
TT4G27M,99.4,Teaching in General/ Self-efficacy in teaching/ Support learning through the use of <digital resources and tools>,,Teaching in General / Self-efficacy in teaching / Support learning through the use of <digital resources and tools>,teacher questionnaire item,,
TT4G27P,99.2,Teaching in General/ Self-efficacy in teaching/ Support students’ social and emotional learning,,Teaching in General / Self-efficacy in teaching / Support students’ social and emotional learning,teacher questionnaire item,,
TT4G27J,99.3,Teaching in General/ Self-efficacy in teaching/ Use a variety of assessment strategies,,Teaching in General / Self-efficacy in teaching / Use a variety of assessment strategies,teacher questionnaire item,,
TT4G27L,99.3,Teaching in General/ Self-efficacy in teaching/ Vary instructional strategies in my classroom,,Teaching in General / Self-efficacy in teaching / Vary instructional strategies in my classroom,teacher questionnaire item,,
TT4G58E,98.7,Teaching in the <Target Class>/ Achieved lesson aims/ Adapting teaching to meet the different needs of students,,Teaching in the <Target Class> / Achieved lesson aims / Adapting teaching to meet the different needs of students,teacher questionnaire item,,
TT4G58B,98.8,Teaching in the <Target Class>/ Achieved lesson aims/ Engaging students in work that challenges them,,Teaching in the <Target Class> / Achieved lesson aims / Engaging students in work that challenges them,teacher questionnaire item,,
TT4G58F,98.7,"Teaching in the <Target Class>/ Achieved lesson aims/ Helping students to manage their own emotions, thoughts, and behaviour",,"Teaching in the <Target Class> / Achieved lesson aims / Helping students to manage their own emotions, thoughts, and behaviour",teacher questionnaire item,,
TT4G58G,98.2,Teaching in the <Target Class>/ Achieved lesson aims/ Managing student behaviour,,Teaching in the <Target Class> / Achieved lesson aims / Managing student behaviour,teacher questionnaire item,,
TT4G58D,98.7,Teaching in the <Target Class>/ Achieved lesson aims/ Offering students opportunities to practice what they learned,,Teaching in the <Target Class> / Achieved lesson aims / Offering students opportunities to practice what they learned,teacher questionnaire item,,
TT4G58A,98.9,Teaching in the <Target Class>/ Achieved lesson aims/ Presenting the content in a comprehensible way,,Teaching in the <Target Class> / Achieved lesson aims / Presenting the content in a comprehensible way,teacher questionnaire item,,
TT4G58C,98.7,Teaching in the <Target Class>/ Achieved lesson aims/ Providing students with feedback to support their learning,,Teaching in the <Target Class> / Achieved lesson aims / Providing students with feedback to support their learning,teacher questionnaire item,,
TT4G50C,100,Teaching in the <Target Class>/ Percentage of <class> time typically spent on activities/ Actual teaching and learning,,Teaching in the <Target Class> / Percentage of <class> time typically spent on activities / Actual teaching and learning,teacher questionnaire item,,
TT4G50A,100,Teaching in the <Target Class>/ Percentage of <class> time typically spent on activities/ Administrative tasks,,Teaching in the <Target Class> / Percentage of <class> time typically spent on activities / Administrative tasks,teacher questionnaire item,,
TT4G50B,100,Teaching in the <Target Class>/ Percentage of <class> time typically spent on activities/ Keeping order in classroom,,Teaching in the <Target Class> / Percentage of <class> time typically spent on activities / Keeping order in classroom,teacher questionnaire item,,
T4WLOADT,98.5,Workload stress,add,Workload stress,derived scale/index,,
T4WELS,97,Workplace well-being and stress,add,Workplace well-being and stress,derived scale/index,,
